"NAME"	"CHEMICAL_FORMULA"	"IMA_STATUS"	"IMA_APPROVAL_DATE"	"COLOR"	"DIAPHANEITY"	"HARDNESS_SCORE"	"LUSTER"	"FAMILY"
"Barstowite"	"Pb4(CO3)Cl6•(H2O)"	"Approved"	05-MAR-89	"Colorless, White. Transparent to Opaque"	"Transparent to Opaque"	3	"Adamantine"	""
"Oldhamite"	"(Ca,Mg,Fe)S"	"Valid Species"		"Light brown, Dark brown"	"Transparent"	4	"Sub Metallic"	"Galena"
"Wattersite"	"Hg+4Hg++Cr++++++O6"	"Approved"	05-JAN-87	"Bronze, Reddish brown, Black"	"Opaque to translucent"	4.5	"Sub Metallic"	""
"Astrophyllite"	"K2Na(Fe++,Mn)7Ti2Si8O26(OH)4"	"Valid Species"		"Brown, Brownish red, Bronze yellow, Gold yellow"	"Translucent to Opaque"	3.5	"Adamantine - Pearly"	"Astrophyllite"
"Hydroastrophyllite"	"(H3O,K)2Ca(Fe+++,Mn)5-6Ti2Si8O26(OH)4F"	"Approved"	15-APR-99	"Dark brown"	"Translucent to Opaque"	3.5	"Vitreous - Adamantine"	"Astrophyllite"
"Kupletskite"	"K2Na(Mn,Fe++)7(Ti,Nb)2Si8O26(OH)4F"	"Valid Species"		"Yellow brown, Black, Black brown."	"Translucent to Opaque"	4	"Vitreous - Adamantine"	"Kupletskite"
"Sveinbergeite"	"Ca(Fe2+6Fe3+)Ti2(Si4O12)2O2(OH)5(H2O)4"	"Approved"	05-DEC-10	"Deep green"	"Subtranslucent"	3	"Vitreous, Pearly"	"Devitoite"
"Uralite"	"AX2Z5((Si,Al,Ti)8O22)(OH,F,Cl,O)2"	"Discredited"		"Bronze, Brownish yellow"	"Transparent"	2.5	"Vitreous (Glassy)"	"Amphibole"
"Kaersutite"	"NaCa2(Mg4Ti)Si6Al2O23(OH)2"	"Valid Species"		"Dark brown, Black"	"Translucent to Subopaque"	5.5	"Vitreous - Resinous"	"w(O)-dominant Amphibole Group"
"Ferri-obertiite"	"Na(Na2)(Mg3Fe3+Ti)(Si8O22)O2"	"Approved"	12-MAY-15	"Pink-orange"	"Subtranslucent"	5	"Vitreous (Glassy)"	"Obertiite"
"Ferrokentbrooksite"	"Na15Ca6(Fe,Mn)3Zr3NbSi25O73(O,OH,H2O)3(Cl,F,OH)2"	"Approved"	15-DEC-99	"Reddish brown, Red"	"Transparent"	5.5	"Vitreous (Glassy)"	"Eudialyte"
"Golyshevite"	"Na10Ca3Ca6Zr3Fe2SiNb(Si3O9)2(Si9O27)2CO3(OH)3"	"Approved"	15-OCT-04	"Dark reddish brown"	"Transparent"	5.5	"Vitreous (Glassy)"	"Eudialyte"
"Devilline"	"CaCu4(SO4)2(OH)6•3(H2O)"	"Valid Species"		"Blue, Blue green, Blue white, White, Dark green"	"Transparent"	2.5	"Vitreous - Pearly"	"Devilline"
