Name,element,percent
Barstowite,Hydrogen,0.18
Barstowite,Lead,74.03
Barstowite,Carbon,1.07
Barstowite,Chlorine,19
Barstowite,Oxygen,5.72
Oldhamite,Calcium,50
Oldhamite,Magnesium,1.68
Oldhamite,Iron,3.87
Oldhamite,Sulfur,44.45
Wattersite,Chromium,9.47
Wattersite,Mercury,73.05
Wattersite,Oxygen,17.48
Astrophyllite,Potassium,6.07
Astrophyllite,Sodium,1.78
Astrophyllite,Magnesium,1.41
Astrophyllite,Titanium,7.43
Astrophyllite,Manganese,4.26
Astrophyllite,Iron,22.75
Astrophyllite,Silicon,17.43
Astrophyllite,Hydrogen,0.27
Astrophyllite,Oxygen,37.86
Astrophyllite,Fluorine,0.74
Hydroastrophyllite,Potassium,1.61
Hydroastrophyllite,Calcium,3.3
Hydroastrophyllite,Titanium,5.52
Hydroastrophyllite,Manganese,8.15
Hydroastrophyllite,Niobium,3.06
Hydroastrophyllite,Aluminum,2.22
Hydroastrophyllite,Iron,16.11
Hydroastrophyllite,Hydrogen,16.2
Hydroastrophyllite,Oxygen,0.71
Hydroastrophyllite,Fluorine,41.54
Hydroastrophyllite,Silicon,16.2
Kupletskite,Potassium,6.58
Kupletskite,Sodium,1.29
Kupletskite,Titanium,5.37
Kupletskite,Manganese,21.57
Kupletskite,Niobium,3.47
Kupletskite,Iron,7.31
Kupletskite,Silicon,16.8
Kupletskite,Hydrogen,0.3
Kupletskite,Oxygen,35.89
Kupletskite,Fluorine,1.42
Sveinbergeite,Calcium,10
Sveinbergeite,Hydrogen,10
Sveinbergeite,Titanium,10
Sveinbergeite,Oxygen,10
Sveinbergeite,Iron,10
Sveinbergeite,Silicon,40
Uralite,Aluminum,25
Uralite,Chlorine,12
Uralite,Fluorine,14
Uralite,Hydrogen,22
Uralite,Oxygen,10
Uralite,Silicon,2
Uralite,Titanium,15
Kaersutite,Sodium,2.63
Kaersutite,Calcium,9.18
Kaersutite,Magnesium,11.14
Kaersutite,Titanium,5.49
Kaersutite,Aluminum,6.18
Kaersutite,Silicon,19.31
Kaersutite,Hydrogen,0.23
Kaersutite,Oxygen,45.83
Ferri-obertiite,Iron,15
Ferri-obertiite,Magnesium,24
Ferri-obertiite,Sodium,35
Ferri-obertiite,Oxygen,5
Ferri-obertiite,Silicon,20
Ferri-obertiite,Titanium,1
Ferrokentbrooksite,Potassium,0.39
Ferrokentbrooksite,Sodium,9.28
Ferrokentbrooksite,Strontium,0.41
Ferrokentbrooksite,Calcium,5.98
Ferrokentbrooksite,La,Ce,Pr,Nd,Sm,4.41
Ferrokentbrooksite,Yttrium,0.47
Ferrokentbrooksite,Hafnium,0.17
Ferrokentbrooksite,Zirconium,8.67
Ferrokentbrooksite,Tantalum,0.11
Ferrokentbrooksite,Titanium,0.06
Ferrokentbrooksite,Manganese,3.14
Ferrokentbrooksite,Niobium,1.84
Ferrokentbrooksite,Aluminum,0.06
Ferrokentbrooksite,Iron,4.13
Ferrokentbrooksite,Silicon,21.86
Ferrokentbrooksite,Hydrogen,0.04
Ferrokentbrooksite,Chlorine,0.98
Ferrokentbrooksite,Oxygen,37.13
Ferrokentbrooksite,Fluorine,0.89
Golyshevite,Potassium,0.4
Golyshevite,Sodium,7.09
Golyshevite,Calcium,8.7
Golyshevite,Lanthanum,0.14
Golyshevite,Cerium,0.24
Golyshevite,Zirconium,9.26
Golyshevite,Manganese,0.54
Golyshevite,Niobium,1.91
Golyshevite,Aluminum,0.07
Golyshevite,Iron,4.18
Golyshevite,Silicon,23.68
Golyshevite,Hydrogen,0.15
Golyshevite,Carbon,0.43
Golyshevite,Chlorine,0.25
Golyshevite,Oxygen,42.95
Devilline,Calcium,6.24
Devilline,Copper,39.56
Devilline,Hydrogen,1.88
Devilline,Sulfur,9.98
Devilline,Oxygen,42.33
