Name,Region,Country,Status
Barstowite,Cornwall,United Kingdom,Abundant
Oldhamite,Uttar Pradesh,India,Abundant
Oldhamite,Thuringen,Germany,scarce
Wattersite,California,USA,Moderate
Astrophyllite,California,USA,Rare
Astrophyllite,Vestfold,Norway,Moderate
Astrophyllite,Kola Peninsula,Russia,Rare
Hydroastrophyllite,Northern Region,Russia,Abundant
Kupletskite,Northern Region,Russia,Moderate
Kupletskite,Quebec,Canada,Rare
Kupletskite,Arkansas,USA,Abundant
Sveinbergeite,Vestfold,Norway,Rare
Uralite,Alaska,USA,Moderate
Uralite,New York,USA,Abundant
Kaersutite,Qaasuitsup,Greenland,Rare
Kaersutite,Rhineland-Palatinate,Germany,Rare
Kaersutite,Plzeň Region,Czech Republic,Moderate
Ferri-obertiite,Rhineland-Palatinate,Germany,Abundant
Ferrokentbrooksite,Telemark,Norway,Rare
Ferrokentbrooksite,Québec,Canada,Rare
Golyshevite,Northern Region,Russia,Moderate
Devilline,Banská Bystrica,Slovakia,Abundant
Devilline,Attikí Prefecture (Attica; Attika),Greece,Moderate
